
2025/01/21 (15:40:38) | ===> btop++ v.1.4.0
2025/01/21 (15:40:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/21 (15:40:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/21 (15:40:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/21 (15:40:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/21 (15:40:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/22 (08:34:58) | ===> btop++ v.1.4.0
2025/01/22 (08:34:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/22 (08:34:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/22 (08:34:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/22 (08:34:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/22 (08:34:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
